"Year","Month","Day","Site.Name","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","Ozone","PM2.5"
"2017","04","24","Blackstone","Lee",35.4325,-79.2887,22,5
"2017","04","24","Bryson City","Swain",35.434767,-83.442133,32,16
"2017","04","25","Blackstone","Lee",35.4325,-79.2887,25,3
"2017","04","25","Bryson City","Swain",35.434767,-83.442133,33,13
"2017","04","26","Blackstone","Lee",35.4325,-79.2887,36,20
"2017","04","26","Bryson City","Swain",35.434767,-83.442133,50,24
"2017","04","26","Triple Oak","Wake",35.8652,-78.8197,NA,20
"2017","04","27","Blackstone","Lee",35.4325,-79.2887,46,41
"2017","04","27","Bryson City","Swain",35.434767,-83.442133,27,43
"2017","04","27","Triple Oak","Wake",35.8652,-78.8197,NA,60
"2017","04","28","Blackstone","Lee",35.4325,-79.2887,38,48
"2017","04","28","Bryson City","Swain",35.434767,-83.442133,44,40
"2017","04","28","Triple Oak","Wake",35.8652,-78.8197,NA,66
"2017","04","29","Blackstone","Lee",35.4325,-79.2887,31,45
"2017","04","29","Bryson City","Swain",35.434767,-83.442133,40,57
"2017","04","29","Triple Oak","Wake",35.8652,-78.8197,NA,64
"2017","04","30","Blackstone","Lee",35.4325,-79.2887,22,21
"2017","04","30","Bryson City","Swain",35.434767,-83.442133,33,35
"2017","04","30","Triple Oak","Wake",35.8652,-78.8197,NA,34
"2017","05","01","Blackstone","Lee",35.4325,-79.2887,28,15
"2017","05","01","Bryson City","Swain",35.434767,-83.442133,58,23
"2017","05","01","Triple Oak","Wake",35.8652,-78.8197,NA,36
"2017","05","02","Blackstone","Lee",35.4325,-79.2887,48,27
"2017","05","02","Bryson City","Swain",35.434767,-83.442133,48,17
"2017","05","02","Triple Oak","Wake",35.8652,-78.8197,NA,22
"2017","05","03","Blackstone","Lee",35.4325,-79.2887,49,32
"2017","05","03","Bryson City","Swain",35.434767,-83.442133,NA,20
"2017","05","03","Triple Oak","Wake",35.8652,-78.8197,NA,22
"2017","05","04","Blackstone","Lee",35.4325,-79.2887,48,25
"2017","05","04","Bryson City","Swain",35.434767,-83.442133,NA,29
"2017","05","04","Triple Oak","Wake",35.8652,-78.8197,NA,26
"2017","05","05","Blackstone","Lee",35.4325,-79.2887,39,13
"2017","05","05","Bryson City","Swain",35.434767,-83.442133,NA,10
"2017","05","05","Triple Oak","Wake",35.8652,-78.8197,NA,20
"2017","05","06","Blackstone","Lee",35.4325,-79.2887,39,24
"2017","05","06","Bryson City","Swain",35.434767,-83.442133,NA,23
"2017","05","06","Triple Oak","Wake",35.8652,-78.8197,NA,13
"2017","05","07","Blackstone","Lee",35.4325,-79.2887,44,34
"2017","05","07","Bryson City","Swain",35.434767,-83.442133,NA,20
"2017","05","07","Triple Oak","Wake",35.8652,-78.8197,NA,17
"2017","05","08","Blackstone","Lee",35.4325,-79.2887,64,51
"2017","05","08","Bryson City","Swain",35.434767,-83.442133,NA,28
"2017","05","08","Triple Oak","Wake",35.8652,-78.8197,NA,19
"2017","05","09","Blackstone","Lee",35.4325,-79.2887,36,43
"2017","05","09","Bryson City","Swain",35.434767,-83.442133,NA,42
"2017","05","09","Triple Oak","Wake",35.8652,-78.8197,NA,23
"2017","05","10","Blackstone","Lee",35.4325,-79.2887,54,53
"2017","05","10","Bryson City","Swain",35.434767,-83.442133,NA,56
"2017","05","10","Triple Oak","Wake",35.8652,-78.8197,NA,56
"2017","05","11","Blackstone","Lee",35.4325,-79.2887,46,58
"2017","05","11","Bryson City","Swain",35.434767,-83.442133,NA,52
"2017","05","11","Triple Oak","Wake",35.8652,-78.8197,NA,62
"2017","05","12","Blackstone","Lee",35.4325,-79.2887,29,27
"2017","05","12","Bryson City","Swain",35.434767,-83.442133,NA,52
"2017","05","12","Triple Oak","Wake",35.8652,-78.8197,NA,11
"2017","05","13","Blackstone","Lee",35.4325,-79.2887,25,18
"2017","05","13","Bryson City","Swain",35.434767,-83.442133,NA,28
"2017","05","14","Blackstone","Lee",35.4325,-79.2887,51,29
"2017","05","14","Bryson City","Swain",35.434767,-83.442133,NA,36
"2017","05","14","Triple Oak","Wake",35.8652,-78.8197,NA,26
"2017","05","15","Blackstone","Lee",35.4325,-79.2887,71,47
"2017","05","15","Bryson City","Swain",35.434767,-83.442133,NA,34
"2017","05","15","Triple Oak","Wake",35.8652,-78.8197,NA,47
"2017","05","16","Blackstone","Lee",35.4325,-79.2887,64,49
"2017","05","16","Bryson City","Swain",35.434767,-83.442133,NA,36
"2017","05","16","Triple Oak","Wake",35.8652,-78.8197,NA,52
"2017","05","17","Blackstone","Lee",35.4325,-79.2887,58,54
"2017","05","17","Bryson City","Swain",35.434767,-83.442133,48,45
"2017","05","17","Triple Oak","Wake",35.8652,-78.8197,NA,59
"2017","05","18","Blackstone","Lee",35.4325,-79.2887,38,32
"2017","05","18","Bryson City","Swain",35.434767,-83.442133,37,41
"2017","05","18","Triple Oak","Wake",35.8652,-78.8197,NA,53
